"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"1844797793925234732","#Day 170🚀 

#DSA =&gt; Factorial Trailing Zeroes
#DEV =&gt; Worked on Medium.
#Explore =&gt; Deep dive into React and Node js Fundamentals. https://t.co/QpXZJdbXWv","en","Tweet","Shubhampawar4841","Shubhampawar484","51","0","0","0","2","0","2024-10-11 23:20:43","https://x.com/Shubhampawar484/status/1844797793925234732","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Day, #DSA, #DEV, #Explore","","photo","https://pbs.twimg.com/media/GZoJzi5aAAA2P5a.jpg
https://pbs.twimg.com/media/GZoJzi6aQAAIqSy.png
https://pbs.twimg.com/media/GZoJzi6asAAI34J.jpg"
"1844433869963133114","#Day 169🚀 

#DSA =&gt; Maximum Width Ramp
#DEV =&gt; Started with V-ideas [FYP]
#Explore =&gt; Had a pretty decent interview today. https://t.co/dyhvBhy5JL","en","Tweet","Shubhampawar4841","Shubhampawar484","58","0","0","0","1","0","2024-10-10 23:14:37","https://x.com/Shubhampawar484/status/1844433869963133114","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Day, #DSA, #DEV, #Explore","","photo","https://pbs.twimg.com/media/GZi-0pQagAAmDzV.png
https://pbs.twimg.com/media/GZi-0pUbMAAurYl.png"
"1843714743393304612","#Day 168🚀 

#DSA =&gt; Minimum Number of Swaps to Make the String Balanced.
#DEV =Worked on Intern task projects Finally hit the Webhook Endpoint.
#Explore =&gt; Ngork https://t.co/UiRvrmM7AS","en","Tweet","Shubhampawar4841","Shubhampawar484","54","0","0","0","1","0","2024-10-08 23:37:04","https://x.com/Shubhampawar484/status/1843714743393304612","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Day, #DSA, #DEV, #Explore","","photo","https://pbs.twimg.com/media/GZYwx-DasAE1Ouk.png
https://pbs.twimg.com/media/GZYwx-BasAErutF.png
https://pbs.twimg.com/media/GZYwx-DawAAaPKd.png"
"1842967748487565553","#Day 166🚀 

#DEV =Worked on Intern task projects.
#Explore =&gt; Shadcn Ui features. https://t.co/GnaeJQuXsE","en","Tweet","Shubhampawar4841","Shubhampawar484","75","0","0","0","3","0","2024-10-06 22:08:46","https://x.com/Shubhampawar484/status/1842967748487565553","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Day, #DEV, #Explore","","photo","https://pbs.twimg.com/media/GZOJZFFbgAAq3yQ.png
https://pbs.twimg.com/media/GZOJZFEacAAMU2P.png"
"1842770754699440386","@shubhstwt @insights_access https://t.co/ZcgGXMyMOI","qme","Reply","Shubhampawar4841","Shubhampawar484","31","0","0","0","0","0","2024-10-06 09:05:59","https://x.com/Shubhampawar484/status/1842770754699440386","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","https://port-folio-ilfv.vercel.app/","",""
"1842554767404613682","@merishabh_singh https://t.co/ZcgGXMzkEg","qme","Reply","Shubhampawar4841","Shubhampawar484","22","0","0","0","0","0","2024-10-05 18:47:44","https://x.com/Shubhampawar484/status/1842554767404613682","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","https://port-folio-ilfv.vercel.app/","",""
"1842270675198996964","#Day 165 🚀

#DEV =Worked on Loop connect and Medium Project 
#Explore =&gt; Connection Pools Functionality Explored !! https://t.co/kdQLha4H2F","en","Tweet","Shubhampawar4841","Shubhampawar484","58","0","0","0","0","0","2024-10-04 23:58:51","https://x.com/Shubhampawar484/status/1842270675198996964","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Day, #DEV, #Explore","","photo","https://pbs.twimg.com/media/GZEPaQUbIAANRCS.png
https://pbs.twimg.com/media/GZEPaQUakAEkIoX.png
https://pbs.twimg.com/media/GZEPaSxbYAAUd9g.png"
"1841905680716071277","#Day 164 🚀 

#DSA =&gt; Rank Transform of an Array 
#DEV =&gt;Revisiting LoopConnect Project.
#Explore =&gt; Some PseudoCodes https://t.co/sq97bsQ2WF","en","Tweet","Shubhampawar4841","Shubhampawar484","56","0","0","0","1","0","2024-10-03 23:48:29","https://x.com/Shubhampawar484/status/1841905680716071277","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Day, #DSA, #DEV, #Explore","","photo","https://pbs.twimg.com/media/GY_DcwtbAAIenxg.png
https://pbs.twimg.com/media/GY_DcwrbAAIW_7X.png"
"1841533967687942542","#Day 163 🚀 

#DSA =&gt; 3Sum Closest
#DEV =&gt; Error Debugging in Medium Project. https://t.co/LPYDmkGvr5","en","Tweet","Shubhampawar4841","Shubhampawar484","64","0","0","0","0","0","2024-10-02 23:11:26","https://x.com/Shubhampawar484/status/1841533967687942542","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Day, #DSA, #DEV","","photo","https://pbs.twimg.com/media/GY5xYMibAAMo4Wl.png
https://pbs.twimg.com/media/GY5xYMgbMAAJiAT.png"
"1841154274845475184","#Day 162 🚀 

#SQL =&gt; Classes More Than 5 Students
#DEV =&gt;Completed Backend Deployment of Medium Application. (Getting Error for Frontend Part).
#Explore =&gt; CloudFlare Analytics, Websockets from 100xdevs. https://t.co/Z0znLSLaMx","en","Tweet","Shubhampawar4841","Shubhampawar484","74","0","0","0","1","0","2024-10-01 22:02:40","https://x.com/Shubhampawar484/status/1841154274845475184","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Day, #SQL, #DEV, #Explore","","photo","https://pbs.twimg.com/media/GY0YDEjbQAMA5k1.jpg
https://pbs.twimg.com/media/GY0YDEobQAAZmCt.png
https://pbs.twimg.com/media/GY0YDEjakAAT9oS.png
https://pbs.twimg.com/media/GY0YDElb0AAgFoo.png"
