"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2004167113855107448","📅 Day 368
✅ Kicked off a client project, translating requirements into a working plan
✅ Built and shipped core web app 
✅ Designed, deployed, and stabilized production API
✅ Integrated payments via Razorpay
✅ Added AI-powered features and tightened reliability through fixe https://t.co/Iyo0T2irlp","en","Tweet","Shubhampawar4841","Shubhampawar484","57","1","0","0","3","0","2025-12-25 17:57:30","https://x.com/Shubhampawar484/status/2004167113855107448","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2004166826960572416/pu/vid/avc1/720x1280/Je0uNHCHOnvbVBzc.mp4?tag=12"
"2001686379147989215","https://t.co/VjmvuPbsyB

Guys, I vibe-coded a small website for students ✨
Find JEE &amp; MHT-CET (Engineering, MBA, MCA) colleges by percentile, compare colleges, check cutoff trends &amp; get AI suggestions — no more PDF headache.

Hope it helps ❤️","en","Tweet","Shubhampawar4841","Shubhampawar484","57","0","0","0","1","0","2025-12-18 21:39:56","https://x.com/Shubhampawar484/status/2001686379147989215","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","https://whereismycollege.vercel.app/","",""
"1999820398872154272","📅 Day 367

✅ Improved scraping reliability for JavaScript-heavy websites  
✅ Used LLMs to extract structured data from messy content
✅ Added better retry and error handling for failed scrapes  
✅ Automated recurring data collection with Apify scheduling https://t.co/e3jXP8ACAb","en","Tweet","Shubhampawar4841","Shubhampawar484","95","0","0","0","6","0","2025-12-13 18:05:12","https://x.com/Shubhampawar484/status/1999820398872154272","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G8DKC3PbkAA4W0r.jpg
https://pbs.twimg.com/media/G8DKCu-bEAAFHug.jpg"
"1999108471191732268","Day 366 — Progress Update

→ Worked on testing integration and pipelines today  
→ Prepared a few things for the upcoming B2B segment  
→ Covered some minor segment tasks along the way  
→ Wrapped up with code review and a bit of cleanup https://t.co/d52rdMbWaP","en","Tweet","Shubhampawar4841","Shubhampawar484","60","0","0","0","5","0","2025-12-11 18:56:15","https://x.com/Shubhampawar484/status/1999108471191732268","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/1999108392321945600/pu/vid/avc1/856x480/IstY-HMv3vHurXrM.mp4?tag=12"
"1998314899190194651","Maths the OG https://t.co/mwHeRnDxNp","en","Tweet","Shubhampawar4841","Shubhampawar484","74","0","0","0","9","0","2025-12-09 14:22:53","https://x.com/Shubhampawar484/status/1998314899190194651","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G7twzGRbYAA8Zqj.jpg"
"1994404217235357993","Just Scrapped over 5 lakhs of Data
Thanks @firecrawl_dev @apify","en","Tweet","Shubhampawar4841","Shubhampawar484","87","0","0","0","5","0","2025-11-28 19:23:14","https://x.com/Shubhampawar484/status/1994404217235357993","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"1983891539597390333","The day u start optimising your API performance is the day u grow as a Developer.","en","Tweet","Shubhampawar4841","Shubhampawar484","101","0","0","0","4","0","2025-10-30 19:09:36","https://x.com/Shubhampawar484/status/1983891539597390333","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1981419906207011290","Using Supabase client directly from the frontend instead of going through backend APIs is next-level dev vibes!","en","Tweet","Shubhampawar4841","Shubhampawar484","82","0","0","0","1","0","2025-10-23 23:28:13","https://x.com/Shubhampawar484/status/1981419906207011290","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1980923897223778680","What's this local host issue?
@Windows","en","Tweet","Shubhampawar4841","Shubhampawar484","88","0","0","0","1","0","2025-10-22 14:37:15","https://x.com/Shubhampawar484/status/1980923897223778680","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1980873620248498527","📅 Continuing beyond 365 days of code  

- Deep dives into advanced system design  
- Containerizing services with Docker  
- Exploring BaaS for backend workflows  
- Architecting scalable APIs  

#365DaysOfBuilding #SystemDesign #Docker #BaaS #APIs #BackendDev https://t.co/yCmF9pKS22","en","Tweet","Shubhampawar4841","Shubhampawar484","114","0","0","0","1","0","2025-10-22 11:17:28","https://x.com/Shubhampawar484/status/1980873620248498527","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#365DaysOfBuilding, #SystemDesign, #Docker, #BaaS, #APIs, #BackendDev","","photo","https://pbs.twimg.com/media/G316DWKWwAAMHli.jpg"
